League,Team,Player,Recent_Matches,Recent_Minutes,Recent_Goals,Recent_Assists,Recent_Yellow_Cards,Recent_Red_Cards,Recent_xG,Recent_xA,Recent_Shots,Recent_Shots_On_Target,Recent_Passes_Completed,Recent_Tackles,Recent_Interceptions,Recent_Fouls
Premier League,Newcastle Utd,Martin Dúbravka,10,900,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,Sean Longstaff,24,797,0,0,2,0,0.6,0.0,0,0,0,16,7,9
Premier League,Newcastle Utd,Lloyd Kelly,10,303,0,1,2,0,0.4,0.0,0,0,0,4,1,5
Premier League,Newcastle Utd,Sven Botman,5,233,0,0,1,0,0.0,0.0,0,0,0,4,4,4
Premier League,Newcastle Utd,Emil Krafth,10,289,0,0,0,0,0.0,0.0,0,0,0,2,2,3
Premier League,Newcastle Utd,Callum Wilson,15,285,0,0,1,0,0.4,0.0,0,0,0,2,1,3
Premier League,Newcastle Utd,Lewis Miley,12,249,1,0,0,0,0.5,0.0,0,0,0,9,2,3
Premier League,Newcastle Utd,Miguel Almirón,9,157,0,0,0,0,0.5,0.0,0,0,0,2,0,1
Premier League,Newcastle Utd,William Osula,12,104,1,0,0,0,0.1,0.0,0,0,0,0,4,2
Premier League,Newcastle Utd,Matt Targett,2,21,0,0,0,0,0.0,0.0,0,0,0,0,1,0
Premier League,Newcastle Utd,Alex Murphy,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,Sean Neave,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,John Ruddy,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,Leo Shahar,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Newcastle Utd,Odisseas Vlachodimos,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Moisés Caicedo,35,3081,1,2,10,0,0.8,0.0,0,0,0,64,49,62
Premier League,Chelsea,Cole Palmer,34,2921,15,8,6,0,17.0,0.0,0,0,0,17,11,13
Premier League,Chelsea,Levi Colwill,32,2879,1,1,8,0,1.3,0.0,0,0,0,30,32,42
Premier League,Chelsea,Marc Cucurella,33,2718,4,1,10,1,2.6,0.0,0,0,0,39,25,34
Premier League,Chelsea,Enzo Fernández,33,2677,6,7,7,0,6.0,0.0,0,0,0,32,13,47
Premier League,Chelsea,Robert Sánchez,29,2610,0,0,5,0,0.0,0.0,0,0,0,0,2,2
Premier League,Chelsea,Nicolas Jackson,29,2185,10,5,7,0,12.3,0.0,0,0,0,13,3,33
Premier League,Chelsea,Noni Madueke,29,1813,7,3,3,0,9.1,0.0,0,0,0,15,8,20
Premier League,Chelsea,Pedro Neto,32,2013,4,5,8,0,2.9,0.0,0,0,0,9,9,19
Premier League,Chelsea,Malo Gusto,29,1832,0,1,4,0,1.7,0.0,0,0,0,28,23,20
Premier League,Chelsea,Jadon Sancho,29,1687,3,4,2,0,2.2,0.0,0,0,0,6,2,6
Premier League,Chelsea,Wesley Fofana,14,1172,0,0,7,0,0.4,0.0,0,0,0,12,14,24
Premier League,Chelsea,Tosin Adarabioyo,20,1229,1,1,3,0,0.9,0.0,0,0,0,10,10,8
Premier League,Chelsea,Reece James,16,838,1,0,1,0,0.3,0.0,0,0,0,9,12,6
Premier League,Chelsea,Trevoh Chalobah,12,836,0,1,2,0,0.7,0.0,0,0,0,6,9,8
Premier League,Chelsea,Roméo Lavia,13,684,0,1,4,0,0.2,0.0,0,0,0,13,14,13
Premier League,Chelsea,Christopher Nkunku,27,921,3,2,2,0,4.8,0.0,0,0,0,8,7,16
Premier League,Chelsea,Filip Jørgensen,6,540,0,0,0,0,0.0,0.0,0,0,0,0,0,1
Premier League,Chelsea,Axel Disasi,6,364,1,0,1,0,0.3,0.0,0,0,0,4,2,2
Premier League,Chelsea,João Félix,12,369,1,1,2,0,2.2,0.0,0,0,0,3,3,6
Premier League,Chelsea,Benoît Badiashile,5,334,0,0,0,0,0.0,0.0,0,0,0,6,6,6
Premier League,Chelsea,Kiernan Dewsbury-Hall,12,259,0,1,0,0,0.2,0.0,0,0,0,5,1,4
Premier League,Chelsea,Joshua Acheampong,4,170,0,0,1,0,0.2,0.0,0,0,0,1,1,0
Premier League,Chelsea,Renato Veiga,7,181,0,0,2,0,0.1,0.0,0,0,0,6,1,6
Premier League,Chelsea,Mykhailo Mudryk,7,151,0,0,0,0,0.3,0.0,0,0,0,2,0,2
Premier League,Chelsea,Tyrique George,7,103,1,1,1,0,0.2,0.0,0,0,0,0,1,2
Premier League,Chelsea,Marc Guiu,3,73,0,0,0,0,0.0,0.0,0,0,0,1,0,0
Premier League,Chelsea,Mathis Amougou,1,8,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Shumaira Mheuka,1,1,0,0,0,0,0.1,0.0,0,0,0,0,0,0
Premier League,Chelsea,Aaron Anselmino,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Genesis Antwi,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Marcus Bettinelli,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Cesare Casadei,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
