Player;Team;Pos;player_score;Player_URL
James Ward-Prowse;Nott'ham Forest;MF;0.08716343992510504;https://fbref.com/en/players/3515d404/James-Ward-Prowse
Danilo;Nott'ham Forest;MF;0.04791015759355491;https://fbref.com/en/players/a816dbfb/Danilo
Ibrahim Sangaré;Nott'ham Forest;MF;0.11954954000982816;https://fbref.com/en/players/bced0375/Ibrahim-Sangare
Taiwo Awoniyi;Nott'ham Forest;FW;0.0522559746523945;https://fbref.com/en/players/e5478b87/Taiwo-Awoniyi
Ramón Sosa;Nott'ham Forest;FW;0.06888185787079684;https://fbref.com/en/players/2d3417a1/Ramon-Sosa
Willy Boly;Nott'ham Forest;DF;0.5399801087189837;https://fbref.com/en/players/a4ac4b8f/Willy-Boly
Harry Toffolo;Nott'ham Forest;DF;0.5397770022514872;https://fbref.com/en/players/a105d46a/Harry-Toffolo
Eric da Silva Moreira;Nott'ham Forest;MF;0.021330569626776055;https://fbref.com/en/players/0a4f579a/Eric-da-Silva-Moreira
Youri Tielemans;Aston Villa;MF;0.8189361592798261;https://fbref.com/en/players/56f7a928/Youri-Tielemans
Emiliano Martínez;Aston Villa;GK;0.9428255958318578;https://fbref.com/en/players/7956236f/Emiliano-Martinez
Morgan Rogers;Aston Villa;FW;0.35779810003334583;https://fbref.com/en/players/2e5915f1/Morgan-Rogers
Ezri Konsa;Aston Villa;DF;0.5769486405311485;https://fbref.com/en/players/0313a347/Ezri-Konsa
Ollie Watkins;Aston Villa;FW;0.49968128312852844;https://fbref.com/en/players/aed3a70f/Ollie-Watkins
Lucas Digne;Aston Villa;DF;0.6412309058127632;https://fbref.com/en/players/1b84dbe1/Lucas-Digne
John McGinn;Aston Villa;MF;0.40771591670324875;https://fbref.com/en/players/90f91999/John-McGinn
Pau Torres;Aston Villa;DF;0.513308303488548;https://fbref.com/en/players/532e1e4f/Pau-Torres
Matty Cash;Aston Villa;DF;0.5996164403210158;https://fbref.com/en/players/2389cdc2/Matty-Cash
Jacob Ramsey;Aston Villa;FW;0.09370977469678828;https://fbref.com/en/players/1544f145/Jacob-Ramsey
Boubacar Kamara;Aston Villa;MF;0.28757244431691764;https://fbref.com/en/players/cc77354e/Boubacar-Kamara
Amadou Onana;Aston Villa;MF;0.4619714464356961;https://fbref.com/en/players/828657ff/Amadou-Onana
Leon Bailey;Aston Villa;FW;0.07989184134865703;https://fbref.com/en/players/3a233281/Leon-Bailey
Tyrone Mings;Aston Villa;DF;0.4834339508267273;https://fbref.com/en/players/8397a50c/Tyrone-Mings
Ian Maatsen;Aston Villa;DF;0.5439950820203547;https://fbref.com/en/players/cab9634e/Ian-Maatsen
Diego Carlos;Aston Villa;DF;0.46942705801781376;https://fbref.com/en/players/b4a014b1/Diego-Carlos
Marco Asensio;Aston Villa;MF;0.1448575522523507;https://fbref.com/en/players/45af8a54/Marco-Asensio
Axel Disasi;Aston Villa;DF;0.47396061797578726;https://fbref.com/en/players/ad82197c/Axel-Disasi
Lamare Bogarde;Aston Villa;DF;0.4572807322528939;https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde
Andrés García;Aston Villa;DF;0.45975061869937717;https://fbref.com/en/players/40498af1/Andres-Garcia
Jáder Durán;Aston Villa;FW;0.2509220839668909;https://fbref.com/en/players/414184f7/Jader-Duran
Marcus Rashford;Aston Villa;FW;0.09889604956424686;https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Ross Barkley;Aston Villa;MF;0.22962233698151344;https://fbref.com/en/players/3a24769f/Ross-Barkley
Jaden Philogene Bidace;Aston Villa;FW;0.03627465429469599;https://fbref.com/en/players/19f4d211/Jaden-Philogene-Bidace
Donyell Malen;Aston Villa;FW;0.1310733771651072;https://fbref.com/en/players/116c35df/Donyell-Malen
Robin Olsen;Aston Villa;GK;0.05683660047632509;https://fbref.com/en/players/e7ee38c3/Robin-Olsen
Kosta Nedeljković;Aston Villa;DF;0.4502772858484372;https://fbref.com/en/players/c70be9cf/Kosta-Nedeljkovic
Emi Buendía;Aston Villa;MF;0.03216310257354652;https://fbref.com/en/players/66b76d44/Emi-Buendia
Milos Kerkez;Bournemouth;DF;0.7421557575312742;https://fbref.com/en/players/0ad53bdc/Milos-Kerkez
Antoine Semenyo;Bournemouth;FW;0.31872262498613957;https://fbref.com/en/players/efd2ec23/Antoine-Semenyo
Illia Zabarnyi;Bournemouth;DF;0.7368097717033144;https://fbref.com/en/players/88968486/Illia-Zabarnyi
Lewis Cook;Bournemouth;MF;0.7620189342889668;https://fbref.com/en/players/2afc7272/Lewis-Cook
Kepa Arrizabalaga;Bournemouth;GK;0.799929004202944;https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
Justin Kluivert;Bournemouth;MF;0.6734608311813349;https://fbref.com/en/players/4c3a6744/Justin-Kluivert
Ryan Christie;Bournemouth;MF;0.6339089879684606;https://fbref.com/en/players/26ce2263/Ryan-Christie
Evanilson;Bournemouth;FW;0.28094365588025866;https://fbref.com/en/players/6f3cc2fe/Evanilson
Dean Huijsen;Bournemouth;DF;0.7685120825726041;https://fbref.com/en/players/87278bce/Dean-Huijsen
Dango Ouattara;Bournemouth;FW;0.2412017284147523;https://fbref.com/en/players/2f9e4435/Dango-Ouattara
Tyler Adams;Bournemouth;MF;0.6723546572908278;https://fbref.com/en/players/2b09d998/Tyler-Adams
Marcus Tavernier;Bournemouth;FW;0.13819384281899116;https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier
Adam Smith;Bournemouth;DF;0.5732606179543257;https://fbref.com/en/players/20b104bc/Adam-Smith
Marcos Senesi;Bournemouth;DF;0.5839851984467697;https://fbref.com/en/players/35141f4c/Marcos-Senesi
David Brooks;Bournemouth;FW;0.090908953944278;https://fbref.com/en/players/dc4cae05/David-Brooks
Alex Scott;Bournemouth;MF;0.17578207659862294;https://fbref.com/en/players/104d0bb8/Alex-Scott
James Hill;Bournemouth;DF;0.5450437258690021;https://fbref.com/en/players/69942fb3/James-Hill
Julian Araujo;Bournemouth;DF;0.5194998266976583;https://fbref.com/en/players/8f4541c2/Julian-Araujo
Mark Travers;Bournemouth;GK;0.14258233022948416;https://fbref.com/en/players/fe558029/Mark-Travers
Enes Ünal;Bournemouth;FW;0.09414677978978961;https://fbref.com/en/players/f8eca1b6/Enes-Unal
Neto;Bournemouth;GK;0.0568414597112068;https://fbref.com/en/players/a9dc785c/Neto
Luis Sinisterra;Bournemouth;FW;0.07665401550314543;https://fbref.com/en/players/8e16dd48/Luis-Sinisterra
Philip Billing;Bournemouth;MF;0.07985026265592483;https://fbref.com/en/players/d328a254/Philip-Billing
Max Aarons;Bournemouth;DF;0.4935497145913215;https://fbref.com/en/players/774cf58b/Max-Aarons
Daniel Jebbison;Bournemouth;FW;0.04080898608153299;https://fbref.com/en/players/03edb878/Daniel-Jebbison
Ben Winterburn;Bournemouth;FW;0.04383187393942432;https://fbref.com/en/players/ba31eee2/Ben-Winterburn
Julio Soler;Bournemouth;FW;0.04383187393942432;https://fbref.com/en/players/98c8559a/Julio-Soler
Remy Rees-Dottin;Bournemouth;FW;0.04383187393942432;https://fbref.com/en/players/1db75ccb/Remy-Rees-Dottin
Zain Silcott-Duberry;Bournemouth;FW;0.04383187393942432;https://fbref.com/en/players/2f5fa231/Zain-Silcott-Duberry
Nathan Collins;Brentford;DF;0.5726960237433998;https://fbref.com/en/players/a8c19eb8/Nathan-Collins
Bryan Mbeumo;Brentford;FW;0.668325820529657;https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
Mark Flekken;Brentford;GK;0.9539440979093659;https://fbref.com/en/players/a92ab7be/Mark-Flekken
Keane Lewis-Potter;Brentford;DF;0.5201864801282363;https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter
Mikkel Damsgaard;Brentford;MF;0.8463627367428078;https://fbref.com/en/players/215f3907/Mikkel-Damsgaard
Yoane Wissa;Brentford;FW;0.5497883801090343;https://fbref.com/en/players/2500cef9/Yoane-Wissa
Christian Nørgaard;Brentford;MF;0.9360684103367186;https://fbref.com/en/players/df0a4c90/Christian-Norgaard
Vitaly Janelt;Brentford;MF;0.5168846317144247;https://fbref.com/en/players/8449d35e/Vitaly-Janelt
Sepp van den Berg;Brentford;DF;0.5158560266377594;https://fbref.com/en/players/7bf9400b/Sepp-van-den-Berg
Kevin Schade;Brentford;FW;0.3506850145993796;https://fbref.com/en/players/52afb588/Kevin-Schade
Ethan Pinnock;Brentford;DF;0.5280023524026793;https://fbref.com/en/players/e541326e/Ethan-Pinnock
Kristoffer Ajer;Brentford;DF;0.4666287953390656;https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer
Yehor Yarmoliuk;Brentford;MF;0.2347477646501249;https://fbref.com/en/players/907a5d7c/Yehor-Yarmoliuk
Mads Roerslev;Brentford;DF;0.40833444412442477;https://fbref.com/en/players/57c94db2/Mads-Roerslev
Mathias Jensen;Brentford;MF;0.19063142864815993;https://fbref.com/en/players/0f134faf/Mathias-Jensen
Fabio Carvalho;Brentford;FW;0.09716966764768094;https://fbref.com/en/players/966e28d0/Fabio-Carvalho
Michael Kayode;Brentford;DF;0.40833444412442477;https://fbref.com/en/players/e19660a8/Michael-Kayode
Ben Mee;Brentford;DF;0.3947337642505043;https://fbref.com/en/players/8df7a2fb/Ben-Mee
Hákon Rafn Valdimarsson;Brentford;GK;0.04572598797502051;https://fbref.com/en/players/57a34cf4/Hakon-Rafn-Valdimarsson
Thiago;Brentford;FW;0.04232043001047866;https://fbref.com/en/players/dc45ac24/Thiago
Edmond-Paris Maghoma;Brentford;MF;0.015970052531184966;https://fbref.com/en/players/8a3ddcd2/Edmond-Paris-Maghoma
Rico Henry;Brentford;DF;0.3759902050161209;https://fbref.com/en/players/8a3c1dc7/Rico-Henry
Yunus Emre Konak;Brentford;FW;0.04080898608153299;https://fbref.com/en/players/e02b5b36/Yunus-Emre-Konak
Kim Jisoo;Brentford;DF;0.3712535385906508;https://fbref.com/en/players/f4065d9e/Kim-Jisoo
Frank Onyeka;Brentford;MF;0.0;https://fbref.com/en/players/2944f86f/Frank-Onyeka
Gustavo Nunes;Brentford;FW;0.04383187393942432;https://fbref.com/en/players/e504780f/Gustavo-Nunes
Jayden Meghoma;Brentford;DF;0.3712535385906508;https://fbref.com/en/players/07382f6c/Jayden-Meghoma
Ryan Trevitt;Brentford;MF;0.0053605170955910875;https://fbref.com/en/players/732327ae/Ryan-Trevitt
Bart Verbruggen;Brighton;GK;0.9428244679976001;https://fbref.com/en/players/cf134113/Bart-Verbruggen
Jan Paul van Hecke;Brighton;DF;0.545790913259357;https://fbref.com/en/players/4fd08daa/Jan-Paul-van-Hecke
Kaoru Mitoma;Brighton;FW;0.30468975365038803;https://fbref.com/en/players/74618572/Kaoru-Mitoma
Carlos Baleba;Brighton;MF;0.7516080496817912;https://fbref.com/en/players/a1390d2f/Carlos-Baleba
Pervis Estupiñán;Brighton;DF;0.6273623836663548;https://fbref.com/en/players/d38fdf53/Pervis-Estupinan
