League,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
Serie A,13,Genoa,35,9,12,14,30,43,-13,39,1.11,34.5,42.8,-8.3,-0.24,W 1–0 vs Udinese; D 0–0 vs Hellas Verona; L 0–2 vs Lazio; L 1–0 vs Como; L 1–2 vs Milan
Serie A,14,Cagliari,35,8,9,18,36,51,-15,33,0.94,40.1,50.4,-10.2,-0.29,D 0–0 vs Empoli; L 3–1 vs Inter; L 1–2 vs Fiorentina; W 0–2 vs Hellas Verona; L 1–2 vs Udinese
Serie A,15,Hellas Verona,35,9,5,21,30,63,-33,32,0.91,31.3,50.6,-19.4,-0.55,D 1–1 vs Torino; D 0–0 vs Genoa; L 1–0 vs Roma; L 0–2 vs Cagliari; L 1–0 vs Inter
Serie A,16,Parma,35,6,14,15,40,54,-14,32,0.91,39.9,54.2,-14.3,-0.41,D 2–2 vs Inter; D 0–0 vs Fiorentina; W 1–0 vs Juventus; D 2–2 vs Lazio; L 0–1 vs Como
Serie A,17,Lecce,35,6,9,20,24,57,-33,27,0.77,32.3,54.4,-22.1,-0.63,D 1–1 vs Venezia; L 2–1 vs Juventus; L 0–3 vs Como; D 1–1 vs Atalanta; L 0–1 vs Napoli
Serie A,18,Venezia,35,4,14,17,28,49,-21,26,0.74,32.5,52.9,-20.4,-0.58,D 1–1 vs Lecce; W 1–0 vs Monza; D 2–2 vs Empoli; L 0–2 vs Milan; D 1–1 vs Torino
Serie A,19,Empoli,35,4,13,18,27,55,-28,25,0.71,29.7,47.9,-18.1,-0.52,D 0–0 vs Cagliari; L 3–0 vs Napoli; D 2–2 vs Venezia; L 2–1 vs Fiorentina; L 0–1 vs Lazio
Serie A,20,Monza,35,2,9,24,25,63,-38,15,0.43,26.9,50.4,-23.5,-0.67,L 1–3 vs Como; L 1–0 vs Venezia; L 0–1 vs Napoli; L 2–0 vs Juventus; L 0–4 vs Atalanta
La Liga,1,Barcelona,34,25,4,5,91,33,+58,79,2.32,81.8,34.8,+46.9,+1.38,D 1–1 vs Betis; W 0–1 vs Leganés; W 4–3 vs Celta Vigo; W 1–0 vs Mallorca; W 1–2 vs Valladolid
La Liga,2,Real Madrid,34,23,6,5,69,33,+36,75,2.21,65.4,36.7,+28.7,+0.84,L 1–2 vs Valencia; W 0–1 vs Alavés; W 1–0 vs Athletic Club; W 0–1 vs Getafe; W 3–2 vs Celta Vigo
La Liga,3,Atlético Madrid,34,19,10,5,56,27,+29,67,1.97,54.4,31.3,+23.1,+0.68,W 1–2 vs Sevilla; W 4–2 vs Valladolid; L 1–0 vs Las Palmas; W 3–0 vs Rayo Vallecano; D 0–0 vs Alavés
La Liga,4,Athletic Club,34,16,13,5,50,26,+24,61,1.79,48.2,33.1,+15.2,+0.45,D 0–0 vs Villarreal; W 3–1 vs Rayo Vallecano; L 1–0 vs Real Madrid; W 1–0 vs Las Palmas; D 0–0 vs Real Sociedad
La Liga,5,Villarreal,34,16,10,8,60,47,+13,58,1.71,58.4,40.2,+18.1,+0.53,W 1–2 vs Betis; D 2–2 vs Real Sociedad; L 3–0 vs Celta Vigo; W 1–0 vs Espanyol; W 4–2 vs Osasuna
La Liga,6,Betis,34,16,9,9,52,42,+10,57,1.68,51.2,41.9,+9.3,+0.27,D 1–1 vs Barcelona; L 1–2 vs Villarreal; W 1–3 vs Girona; W 5–1 vs Valladolid; W 1–2 vs Espanyol
La Liga,7,Celta Vigo,34,13,7,14,52,52,0,46,1.35,48.3,37.7,+10.6,+0.31,W 1–2 vs Mallorca; L 0–2 vs Espanyol; L 4–3 vs Barcelona; W 3–0 vs Villarreal; L 3–2 vs Real Madrid
La Liga,8,Rayo Vallecano,34,11,11,12,36,42,-6,44,1.29,39.7,44.1,-4.4,-0.13,L 0–4 vs Espanyol; L 3–1 vs Athletic Club; D 1–1 vs Valencia; L 3–0 vs Atlético Madrid; W 1–0 vs Getafe
La Liga,9,Osasuna,34,10,14,10,42,50,-8,44,1.29,38.6,49.2,-10.5,-0.31,D 1–1 vs Leganés; W 2–1 vs Girona; W 2–3 vs Valladolid; W 1–0 vs Sevilla; L 4–2 vs Villarreal
La Liga,10,Mallorca,34,12,8,14,31,39,-8,44,1.29,36.2,38.6,-2.3,-0.07,L 1–2 vs Celta Vigo; W 0–2 vs Real Sociedad; D 0–0 vs Leganés; L 1–0 vs Barcelona; L 1–0 vs Girona
La Liga,11,Real Sociedad,34,12,7,15,32,37,-5,43,1.26,37.3,36.6,+0.7,+0.02,W 1–3 vs Las Palmas; L 0–2 vs Mallorca; D 2–2 vs Villarreal; L 1–0 vs Alavés; D 0–0 vs Athletic Club
La Liga,12,Valencia,34,10,12,12,40,51,-11,42,1.24,38.5,47.6,-9.1,-0.27,W 1–2 vs Real Madrid; W 1–0 vs Sevilla; D 1–1 vs Rayo Vallecano; D 1–1 vs Espanyol; W 2–3 vs Las Palmas
La Liga,13,Getafe,34,10,9,15,31,31,0,39,1.15,33.8,40.4,-6.6,-0.19,W 0–4 vs Valladolid; L 1–3 vs Las Palmas; L 1–0 vs Espanyol; L 0–1 vs Real Madrid; L 1–0 vs Rayo Vallecano
La Liga,14,Espanyol,34,10,9,15,36,44,-8,39,1.15,29.1,49.9,-20.8,-0.61,W 0–2 vs Celta Vigo; W 1–0 vs Getafe; D 1–1 vs Valencia; L 1–0 vs Villarreal; L 1–2 vs Betis
La Liga,15,Girona,34,10,8,16,41,52,-11,38,1.12,38.5,42.8,-4.2,-0.12,L 0–1 vs Alavés; L 2–1 vs Osasuna; L 1–3 vs Betis; D 1–1 vs Leganés; W 1–0 vs Mallorca
La Liga,16,Sevilla,34,9,11,14,37,46,-9,38,1.12,37.1,43.0,-5.9,-0.17,L 1–2 vs Atlético Madrid; L 1–0 vs Valencia; D 1–1 vs Alavés; L 1–0 vs Osasuna; D 2–2 vs Leganés
La Liga,17,Alavés,34,8,11,15,35,46,-11,35,1.03,37.3,41.7,-4.3,-0.13,W 0–1 vs Girona; L 0–1 vs Real Madrid; D 1–1 vs Sevilla; W 1–0 vs Real Sociedad; D 0–0 vs Atlético Madrid
La Liga,18,Las Palmas,34,8,8,18,40,56,-16,32,0.94,34.1,60.8,-26.7,-0.79,L 1–3 vs Real Sociedad; W 1–3 vs Getafe; W 1–0 vs Atlético Madrid; L 1–0 vs Athletic Club; L 2–3 vs Valencia
La Liga,19,Leganés,34,6,13,15,32,51,-19,31,0.91,29.8,55.7,-25.8,-0.76,D 1–1 vs Osasuna; L 0–1 vs Barcelona; D 0–0 vs Mallorca; D 1–1 vs Girona; D 2–2 vs Sevilla
La Liga,20,Valladolid,34,4,4,26,25,83,-58,16,0.47,29.9,61.8,-31.9,-0.94,L 0–4 vs Getafe; L 4–2 vs Atlético Madrid; L 2–3 vs Osasuna; L 5–1 vs Betis; L 1–2 vs Barcelona
