League;Team;Player;Player_URL;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
Premier League;Manchester City;Bernardo Silva;https://fbref.com/en/players/3eb22ec9/Bernardo-Silva;;MF,FW;30;30;26;2,401;26.7;3;4;7;3;0;0;7;0
Premier League;Manchester City;Ederson;https://fbref.com/en/players/3bb7b8b4/Ederson;;GK;31;23;23;2,05;22.8;0;4;4;0;0;0;3;0
Premier League;Manchester City;İlkay Gündoğan;https://fbref.com/en/players/819b3158/Ilkay-Gundogan;;MF;34;31;23;2,05;22.8;0;5;5;0;0;0;1;0
Premier League;Manchester City;Mateo Kovačić;https://fbref.com/en/players/79c0821a/Mateo-Kovacic;;MF;31;29;23;2,049;22.8;6;1;7;6;0;0;5;0
Premier League;Manchester City;Rúben Dias;https://fbref.com/en/players/31c69ef1/Ruben-Dias;;DF;27;24;22;2,001;22.2;0;0;0;0;0;0;4;0
Premier League;Manchester City;Sávio;https://fbref.com/en/players/fe6e7156/Savio;;FW,MF;21;27;21;1,734;19.3;1;8;9;1;0;0;3;0
Premier League;Manchester City;Rico Lewis;https://fbref.com/en/players/b57e066e/Rico-Lewis;;DF,MF;20;27;20;1,818;20.2;1;2;3;1;0;0;5;1
Premier League;Manchester City;Manuel Akanji;https://fbref.com/en/players/89ac64a6/Manuel-Akanji;;DF;29;23;20;1,744;19.4;0;0;0;0;0;0;3;0
Premier League;Manchester City;Phil Foden;https://fbref.com/en/players/ed1e53f3/Phil-Foden;;MF,FW;24;26;19;1,693;18.8;7;2;9;7;0;0;2;0
Premier League;Manchester City;Kevin De Bruyne;https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne;;MF,FW;33;25;17;1,538;17.1;4;7;11;4;0;0;2;0
Premier League;Manchester City;Matheus Nunes;https://fbref.com/en/players/e6af02e0/Matheus-Nunes;;DF,MF;26;24;17;1,494;16.6;1;5;6;1;0;0;4;0
Premier League;Manchester City;Jeremy Doku;https://fbref.com/en/players/fffea3e5/Jeremy-Doku;;FW,MF;22;26;15;1,397;15.5;3;6;9;3;0;0;1;0
Premier League;Manchester City;Stefan Ortega;https://fbref.com/en/players/c1242d4e/Stefan-Ortega;;GK;32;13;12;1,1;12.2;0;0;0;0;0;0;1;0
Premier League;Manchester City;Omar Marmoush;https://fbref.com/en/players/0e0102eb/Omar-Marmoush;;FW,MF;26;13;12;998;11.1;6;0;6;6;0;0;0;0
Premier League;Manchester City;Kyle Walker;https://fbref.com/en/players/86dd77d1/Kyle-Walker;;DF;34;15;9;970;10.8;0;0;0;0;0;0;3;0
Premier League;Manchester City;Nathan Aké;https://fbref.com/en/players/eaeca114/Nathan-Ake;;DF;30;10;8;678;7.5;0;0;0;0;0;0;0;0
Premier League;Manchester City;Nicolás González;https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez;;MF;23;9;8;648;7.2;0;0;0;0;0;0;3;0
Premier League;Manchester City;Jack Grealish;https://fbref.com/en/players/b0b4fd3e/Jack-Grealish;;FW,MF;29;19;7;720;8.0;1;1;2;1;0;0;3;0
Premier League;Manchester City;John Stones;https://fbref.com/en/players/5eecec3d/John-Stones;;DF,MF;30;11;6;548;6.1;2;0;2;2;0;0;1;0
Premier League;Manchester City;Nico O’Reilly;https://fbref.com/en/players/91ca4a16/Nico-OReilly;;DF;20;8;6;513;5.7;2;0;2;2;0;0;0;0
Premier League;Manchester City;Abdukodir Khusanov;https://fbref.com/en/players/d17ce930/Abdukodir-Khusanov;;DF;21;6;6;503;5.6;0;0;0;0;0;0;1;0
Premier League;Manchester City;James Mcatee;https://fbref.com/en/players/96593e89/James-Mcatee;;MF,FW;22;14;2;304;3.4;3;0;3;3;0;0;1;0
Premier League;Manchester City;Jahmai Simpson-Pusey;https://fbref.com/en/players/383b10fd/Jahmai-Simpson-Pusey;;DF;19;2;1;96;1.1;0;0;0;0;0;0;1;0
Premier League;Manchester City;Rodri;https://fbref.com/en/players/6434f10d/Rodri;;MF;28;2;1;65;0.7;0;0;0;0;0;0;0;0
Premier League;Manchester City;Divin Mubama;https://fbref.com/en/players/92868cb5/Divin-Mubama;;FW;20;1;0;28;0.3;0;0;0;0;0;0;0;0
Premier League;Manchester City;Oscar Bobb;https://fbref.com/en/players/eed2427e/Oscar-Bobb;;FW;21;2;0;15;0.2;0;0;0;0;0;0;0;0
Premier League;Manchester City;Vitor Reis;https://fbref.com/en/players/c4ce0ab5/Vitor-Reis;;DF;19;1;0;1;0.0;0;0;0;0;0;0;0;0
Premier League;Manchester City;Max Alleyne;https://fbref.com/en/players/5383979b/Max-Alleyne;;DF;19;0;0;;;;;;;;;;
Premier League;Manchester City;Thorsten Brits;https://fbref.com/en/players/d5837248/Thorsten-Brits;;GK;17;0;0;;;;;;;;;;
Premier League;Manchester City;Scott Carson;https://fbref.com/en/players/3e1550ee/Scott-Carson;;GK;39;0;0;;;;;;;;;;
Premier League;Manchester City;Issa Kaboré;https://fbref.com/en/players/c066d1a5/Issa-Kabore;;DF,MF;23;0;0;;;;;;;;;;
Premier League;Manchester City;Josh Wilson-Esbrand;https://fbref.com/en/players/c19a2df1/Josh-Wilson-Esbrand;;DF;22;0;0;;;;;;;;;;
Premier League;Manchester City;Jacob Wright;https://fbref.com/en/players/b6db05c3/Jacob-Wright;;MF;19;0;0;;;;;;;;;;
Premier League;Newcastle Utd;Bruno Guimarães;https://fbref.com/en/players/82518f62/Bruno-Guimaraes;;MF;27;35;35;3,002;33.4;4;6;10;4;0;0;6;0
Premier League;Newcastle Utd;Dan Burn;https://fbref.com/en/players/b2d31e83/Dan-Burn;;DF;32;34;34;3,06;34.0;1;0;1;1;0;0;10;0
Premier League;Newcastle Utd;Alexander Isak;https://fbref.com/en/players/8e92be30/Alexander-Isak;;FW;25;32;32;2,577;28.6;23;6;29;19;4;4;1;0
Premier League;Newcastle Utd;Fabian Schär;https://fbref.com/en/players/c8aa95da/Fabian-Schar;;DF;33;31;30;2,664;29.6;4;0;4;4;0;0;7;1
Premier League;Newcastle Utd;Valentino Livramento;https://fbref.com/en/players/afed6722/Valentino-Livramento;;DF;22;34;29;2,57;28.6;0;1;1;0;0;0;1;0
Premier League;Newcastle Utd;Joelinton;https://fbref.com/en/players/c17bfb65/Joelinton;;MF,FW;28;29;29;2,393;26.6;4;3;7;4;0;0;10;0
Premier League;Newcastle Utd;Jacob Murphy;https://fbref.com/en/players/de112b84/Jacob-Murphy;;FW;30;32;28;2,139;23.8;8;11;19;8;0;0;3;0
Premier League;Newcastle Utd;Sandro Tonali;https://fbref.com/en/players/0db169ae/Sandro-Tonali;;MF;24;33;25;2,36;26.2;3;2;5;3;0;0;5;0
Premier League;Newcastle Utd;Nick Pope;https://fbref.com/en/players/4b40d9ca/Nick-Pope;;GK;33;25;25;2,25;25.0;0;0;0;0;0;0;2;0
Premier League;Newcastle Utd;Anthony Gordon;https://fbref.com/en/players/2bd83368/Anthony-Gordon;;FW;24;31;25;2,235;24.8;6;5;11;5;1;2;2;0
Premier League;Newcastle Utd;Lewis Hall;https://fbref.com/en/players/da011f18/Lewis-Hall;;DF;20;27;24;2,189;24.3;0;4;4;0;0;0;3;0
Premier League;Newcastle Utd;Harvey Barnes;https://fbref.com/en/players/3ea50f67/Harvey-Barnes;;FW;27;30;14;1,503;16.7;9;4;13;9;0;0;0;0
Premier League;Newcastle Utd;Kieran Trippier;https://fbref.com/en/players/21512407/Kieran-Trippier;;DF;34;24;14;1,281;14.2;0;3;3;0;0;0;1;0
Premier League;Newcastle Utd;Joe Willock;https://fbref.com/en/players/a3b03921/Joe-Willock;;MF,FW;25;30;11;1,026;11.4;0;2;2;0;0;0;3;0
Premier League;Newcastle Utd;Martin Dúbravka;https://fbref.com/en/players/3a949a25/Martin-Dubravka;;GK;36;10;10;900;10.0;0;0;0;0;0;0;0;0
Premier League;Newcastle Utd;Sean Longstaff;https://fbref.com/en/players/a2b105e0/Sean-Longstaff;;MF;27;24;8;797;8.9;0;0;0;0;0;0;2;0
Premier League;Newcastle Utd;Lloyd Kelly;https://fbref.com/en/players/f31def1e/Lloyd-Kelly;;DF;26;10;4;303;3.4;0;1;1;0;0;0;2;0
Premier League;Newcastle Utd;Sven Botman;https://fbref.com/en/players/ccce7025/Sven-Botman;;DF;25;5;3;233;2.6;0;0;0;0;0;0;1;0
Premier League;Newcastle Utd;Emil Krafth;https://fbref.com/en/players/77cf6852/Emil-Krafth;;DF;30;10;2;289;3.2;0;0;0;0;0;0;0;0
Premier League;Newcastle Utd;Callum Wilson;https://fbref.com/en/players/c596fcb0/Callum-Wilson;;FW;33;15;1;285;3.2;0;0;0;0;0;0;1;0
